event_id,event_name,venue,event_type,event_category,sport_or_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,result,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
1,Rugby League: Sydney v South Sydney,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-03-07,,,,,,,Rugby League Project,National Youth Competition 2013,Round 1,Sydney,South Sydney,26.0,24.0,Sydney 26 - 24 South Sydney,2013,3,7,Thursday,,,0,https://www.rugbyleagueproject.org/matches/118203,Rugby League Project venue row; listed venue = Allianz Stadium
2,Rugby League: Sydney v Brisbane,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-03-23,,,,,,,Rugby League Project,National Youth Competition 2013,Round 3,Sydney,Brisbane,22.0,40.0,Sydney 22 - 40 Brisbane,2013,3,23,Saturday,,,1,https://www.rugbyleagueproject.org/matches/118222,Rugby League Project venue row; listed venue = Allianz Stadium
3,Rugby League: Sydney v Parramatta,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-04-01,,,,,,,Rugby League Project,National Youth Competition 2013,Round 4,Sydney,Parramatta,22.0,20.0,Sydney 22 - 20 Parramatta,2013,4,1,Monday,,,0,https://www.rugbyleagueproject.org/matches/118234,Rugby League Project venue row; listed venue = Allianz Stadium
4,Rugby League: Sydney v Canterbury,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-04-12,,,,,,,Rugby League Project,National Youth Competition 2013,Round 6,Sydney,Canterbury,34.0,30.0,Sydney 34 - 30 Canterbury,2013,4,12,Friday,,,0,https://www.rugbyleagueproject.org/matches/118244,Rugby League Project venue row; listed venue = Allianz Stadium
5,Rugby League: Sydney v St Geo Illa,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-04-25,,,,,,,Rugby League Project,National Youth Competition 2013,Round 7,Sydney,St Geo Illa,54.0,10.0,Sydney 54 - 10 St Geo Illa,2013,4,25,Thursday,,,0,https://www.rugbyleagueproject.org/matches/118251,Rugby League Project venue row; listed venue = Allianz Stadium
6,Rugby League: Sydney v Penrith,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-05-05,,,,,,,Rugby League Project,National Youth Competition 2013,Round 8,Sydney,Penrith,32.0,16.0,Sydney 32 - 16 Penrith,2013,5,5,Sunday,,,1,https://www.rugbyleagueproject.org/matches/118265,Rugby League Project venue row; listed venue = Allianz Stadium
7,Rugby League: Wests Tigers v Cronulla,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-05-10,,,,,,,Rugby League Project,National Youth Competition 2013,Round 9,Wests Tigers,Cronulla,38.0,18.0,Wests Tigers 38 - 18 Cronulla,2013,5,10,Friday,,,0,https://www.rugbyleagueproject.org/matches/118268,Rugby League Project venue row; listed venue = Allianz Stadium
8,Rugby League: Sydney v Melbourne,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-05-25,,,,,,,Rugby League Project,National Youth Competition 2013,Round 11,Sydney,Melbourne,32.0,10.0,Sydney 32 - 10 Melbourne,2013,5,25,Saturday,,,1,https://www.rugbyleagueproject.org/matches/118286,Rugby League Project venue row; listed venue = Allianz Stadium
9,Rugby League: Sydney v Warriors,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-06-16,,,,,,,Rugby League Project,National Youth Competition 2013,Round 14,Sydney,Warriors,31.0,26.0,Sydney 31 - 26 Warriors,2013,6,16,Sunday,,,1,https://www.rugbyleagueproject.org/matches/118308,Rugby League Project venue row; listed venue = Allianz Stadium
10,Rugby League: Sydney v Manly,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-07-01,,,,,,,Rugby League Project,National Youth Competition 2013,Round 16,Sydney,Manly,34.0,6.0,Sydney 34 - 6 Manly,2013,7,1,Monday,,,0,https://www.rugbyleagueproject.org/matches/118320,Rugby League Project venue row; listed venue = Allianz Stadium
11,Rugby League: Sydney v Cronulla,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-07-20,,,,,,,Rugby League Project,National Youth Competition 2013,Round 19,Sydney,Cronulla,24.0,26.0,Sydney 24 - 26 Cronulla,2013,7,20,Saturday,,,1,https://www.rugbyleagueproject.org/matches/118335,Rugby League Project venue row; listed venue = Allianz Stadium
12,Rugby League: Sydney v Canberra,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2013-08-10,,,,,,,Rugby League Project,National Youth Competition 2013,Round 22,Sydney,Canberra,32.0,38.0,Sydney 32 - 38 Canberra,2013,8,10,Saturday,,,1,https://www.rugbyleagueproject.org/matches/118357,Rugby League Project venue row; listed venue = Allianz Stadium
