event_id,event_name,venue,event_type,event_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,result,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
1,A-League - Sydney FC vs Wellington Phoenix SYD 3-2 - 2017-10-15,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-10-15,,,,,11284,reported_crowd,Ultimate A-League,2017-18,2,Sydney FC,Wellington Phoenix SYD 3-2,3,2,Sydney FC 3 - 2 Wellington Phoenix SYD 3-2,2017,10,15,Sunday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
2,A-League - Sydney FC vs Western Sydney Wanderers SYD 2-2 - 2017-10-21,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-10-21,,,,,36057,reported_crowd,Ultimate A-League,2017-18,3,Sydney FC,Western Sydney Wanderers SYD 2-2,2,2,Sydney FC 2 - 2 Western Sydney Wanderers SYD 2-2,2017,10,21,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
3,A-League - Sydney FC vs Perth Glory SYD 2-0 - 2017-10-27,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-10-27,,,,,10063,reported_crowd,Ultimate A-League,2017-18,4,Sydney FC,Perth Glory SYD 2-0,2,0,Sydney FC 2 - 0 Perth Glory SYD 2-0,2017,10,27,Friday,,,0,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
4,A-League - Sydney FC vs Newcastle Jets SYD 2-1 - 2017-11-18,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-11-18,,,,,11519,reported_crowd,Ultimate A-League,2017-18,7,Sydney FC,Newcastle Jets SYD 2-1,2,1,Sydney FC 2 - 1 Newcastle Jets SYD 2-1,2017,11,18,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
5,A-League - Sydney FC vs Brisbane Roar SYD 3-1 - 2017-11-25,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-11-25,,,,,10044,reported_crowd,Ultimate A-League,2017-18,8,Sydney FC,Brisbane Roar SYD 3-1,3,1,Sydney FC 3 - 1 Brisbane Roar SYD 3-1,2017,11,25,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
6,A-League - Sydney FC vs Melbourne City SYD 3-1 - 2017-12-15,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-12-15,,,,,10688,reported_crowd,Ultimate A-League,2017-18,11,Sydney FC,Melbourne City SYD 3-1,3,1,Sydney FC 3 - 1 Melbourne City SYD 3-1,2017,12,15,Friday,,,0,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
7,A-League - Sydney FC vs Perth Glory SYD 6-0 - 2017-12-30,Sydney Football Stadium / Allianz Stadium,a_league,sport,2017-12-30,,,,,13332,reported_crowd,Ultimate A-League,2017-18,13,Sydney FC,Perth Glory SYD 6-0,6,0,Sydney FC 6 - 0 Perth Glory SYD 6-0,2017,12,30,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
8,A-League - Sydney FC vs Newcastle Jets SYD 2-2 - 2018-01-03,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-01-03,,,,,18055,reported_crowd,Ultimate A-League,2017-18,14,Sydney FC,Newcastle Jets SYD 2-2,2,2,Sydney FC 2 - 2 Newcastle Jets SYD 2-2,2018,1,3,Wednesday,,,0,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
9,A-League - Sydney FC vs Central Coast Mariners SYD 1-1 - 2018-01-20,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-01-20,,,,,13511,reported_crowd,Ultimate A-League,2017-18,17,Sydney FC,Central Coast Mariners SYD 1-1,1,1,Sydney FC 1 - 1 Central Coast Mariners SYD 1-1,2018,1,20,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
10,A-League - Sydney FC vs Wellington Phoenix SYD 4-0 - 2018-02-02,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-02-02,,,,,10220,reported_crowd,Ultimate A-League,2017-18,19,Sydney FC,Wellington Phoenix SYD 4-0,4,0,Sydney FC 4 - 0 Wellington Phoenix SYD 4-0,2018,2,2,Friday,,,0,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
11,A-League - Sydney FC vs Western Sydney Wanderers SYD 3-1 - 2018-02-25,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-02-25,,,,,25211,reported_crowd,Ultimate A-League,2017-18,21,Sydney FC,Western Sydney Wanderers SYD 3-1,3,1,Sydney FC 3 - 1 Western Sydney Wanderers SYD 3-1,2018,2,25,Sunday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
12,A-League - Sydney FC vs Brisbane Roar SYD 1-2 - 2018-03-17,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-03-17,,,,,10890,reported_crowd,Ultimate A-League,2017-18,23,Sydney FC,Brisbane Roar SYD 1-2,1,2,Sydney FC 1 - 2 Brisbane Roar SYD 1-2,2018,3,17,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
13,A-League - Sydney FC vs Adelaide United SYD 3-0 - 2018-04-08,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-04-08,,,,,9110,reported_crowd,Ultimate A-League,2017-18,26,Sydney FC,Adelaide United SYD 3-0,3,0,Sydney FC 3 - 0 Adelaide United SYD 3-0,2018,4,8,Sunday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
14,A-League - Sydney FC vs Melbourne Victory SYD 1-0 - 2018-04-13,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-04-13,,,,,15567,reported_crowd,Ultimate A-League,2017-18,27,Sydney FC,Melbourne Victory SYD 1-0,1,0,Sydney FC 1 - 0 Melbourne Victory SYD 1-0,2018,4,13,Friday,,,0,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
15,A-League - Sydney FC vs Melbourne Victory SYD 2-3 - 2018-04-28,Sydney Football Stadium / Allianz Stadium,a_league,sport,2018-04-28,,,,,17775,reported_crowd,Ultimate A-League,2017-18,F2,Sydney FC,Melbourne Victory SYD 2-3,2,3,Sydney FC 2 - 3 Melbourne Victory SYD 2-3,2018,4,28,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=7,Kick-off time not available from stadium summary table
