time,summary,venue,location,intensity,duration_hours,is_weekend,hour,day_of_week,month,year
2026-05-30 03:15:00+00:00,2026 AFL Round 12: Sydney Swans v Richmond FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,1,3,5,5,2026
2026-05-30 04:15:00+00:00,2026 AFL Round 12: Sydney Swans v Richmond FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,1,4,5,5,2026
2026-05-30 05:15:00+00:00,2026 AFL Round 12: Sydney Swans v Richmond FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,1,5,5,5,2026
2026-05-30 06:15:00+00:00,2026 AFL Round 12: Sydney Swans v Richmond FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,1,6,5,5,2026
2026-07-01 14:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,2,7,2026
2026-07-01 15:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,2,7,2026
2026-07-01 16:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,2,7,2026
2026-07-02 14:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,3,7,2026
2026-07-02 15:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,3,7,2026
2026-07-02 16:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,3,7,2026
2026-07-03 14:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,4,7,2026
2026-07-03 15:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,4,7,2026
2026-07-03 16:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,4,7,2026
2026-07-04 14:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,14,5,7,2026
2026-07-04 15:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,15,5,7,2026
2026-07-04 16:00:00+00:00,2026 AFL Round 17: Sydney Swans v Western Bulldogs*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,16,5,7,2026
2026-07-15 14:00:00+00:00,2026 AFL Round 19: Sydney Swans v Adelaide Crows*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,2,7,2026
