event_id,event_name,venue,event_type,date,time,start,end,estimated_attendance,attendance_source,year,month,day,day_of_week,hour,is_weekend,source_url
1,DJ Nino Brown,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,25659,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
2,Rudimental,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,33891,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
3,Ruby Rose,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,39641,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
4,Dizzee Rascal,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,41151,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
5,PSY,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,35301,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
6,Polyfonik,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,20437,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
7,Orkestrated,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,38555,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
8,SCNDL,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,40891,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
9,Mobin Master,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,21480,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
10,WILL K,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,24693,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
11,Joel Fletcher,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,17048,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
12,Hardwell,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,34024,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
13,Steve Aoki,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,15612,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
14,Apocalypto,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,29738,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
15,Bombs Away,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,20476,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
16,Kill the Noise,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,28924,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
17,Havana Brown,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,43547,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
18,Slice n Dice,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,36771,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
19,Stafford Brothers,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,43838,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=7&year=2013
20,Will Sparks,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,33516,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=6&year=2013
21,Zeds Dead,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,41117,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=7&year=2013
22,DJ.Fresh,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,41620,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=5&year=2013
23,Trifo,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,18018,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=7&year=2013
24,Timmy Trumpet,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,36039,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=7&year=2013
25,Dimitri Vegas & Like Mike,Royal Randwick Racecourse,concert,2013-03-08,7:00 PM,2013-03-08 19:00:00,2013-03-08 23:00:00,20685,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,8,Friday,19,0,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=7&year=2013
26,Steve Aoki,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,39538,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
27,Avicii,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,23316,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
28,A‐Trak,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,42964,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
29,Bloc Party,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,16095,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
30,Bombs Away,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,38337,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
31,Borgore,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,17042,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
32,Boys Noize,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,15434,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
33,Cosmic Gate feat. Emma Hewitt,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,32241,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
34,Feed Me,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,40152,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
35,Azealia Banks,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,31332,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?year=2013
36,Fun,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,25109,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=2&year=2013
37,Zeds Dead,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,19611,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=4&year=2013
38,GATC,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,15427,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=2&year=2013
39,Ben Gold,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,44200,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=2&year=2013
40,Ellie Goulding,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,30877,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=2&year=2013
41,Hardwell,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,41161,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=2&year=2013
42,Richie Hawtin,Royal Randwick Racecourse,concert,2013-03-09,7:00 PM,2013-03-09 19:00:00,2013-03-09 23:00:00,33084,Simulated estimate based on event type and typical Royal Randwick attendance ranges,2013,3,9,Saturday,19,1,https://www.setlist.fm/venue/royal-randwick-racecourse-sydney-australia-1bd73538.html?page=2&year=2013
