date,event_name,venue,time,raw_context
2026-10-24,SONNY FODERA,Hordern Pavilion,,SONNY FODERA 24 Oct 2026 MORE INFO Upcoming Events VIEW ALL EVENTS I’m looking for
2026-10-24,SONNY FODERA,Hordern Pavilion,,SONNY FODERA 24 Oct 2026 MORE INFO Upcoming Events VIEW ALL EVENTS I’m looking for anything
2026-10-24,24 Oct 2026,Hordern Pavilion,,SONNY FODERA 24 Oct 2026 MORE INFO Upcoming Events VIEW ALL EVENTS I’m looking for anything Art
2026-10-24,MORE INFO,Hordern Pavilion,,SONNY FODERA 24 Oct 2026 MORE INFO Upcoming Events VIEW ALL EVENTS I’m looking for anything Art Entertainment
2026-10-24,Upcoming Events,Hordern Pavilion,,24 Oct 2026 MORE INFO Upcoming Events VIEW ALL EVENTS I’m looking for anything Art Entertainment Festivals
2026-05-09,Grid,Hordern Pavilion,,Hero / Grid / List NEW SHOW ADDED MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026
2026-05-09,/,Hordern Pavilion,,/ Grid / List NEW SHOW ADDED MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026 INFO TIX
2026-05-09,List,Hordern Pavilion,,Grid / List NEW SHOW ADDED MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026 INFO TIX CANCELLED EVENT
2026-05-09,NEW SHOW ADDED,Hordern Pavilion,,/ List NEW SHOW ADDED MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026 INFO TIX CANCELLED EVENT BONE THUGS-N-HARMONY
2026-05-09,MARIAH THE SCIENTIST,Hordern Pavilion,,List NEW SHOW ADDED MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026 INFO TIX CANCELLED EVENT BONE THUGS-N-HARMONY With special guests: Xzibit and Too $hort
2026-05-09,Hearts Sold Seprately,Hordern Pavilion,,NEW SHOW ADDED MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026 INFO TIX CANCELLED EVENT BONE THUGS-N-HARMONY With special guests: Xzibit and Too $hort 12 May 2026
2026-05-09,09 May 2026,Hordern Pavilion,,MARIAH THE SCIENTIST Hearts Sold Seprately 09 May 2026 INFO TIX CANCELLED EVENT BONE THUGS-N-HARMONY With special guests: Xzibit and Too $hort 12 May 2026 INFO TIX
2026-05-09,INFO TIX,Hordern Pavilion,,Hearts Sold Seprately 09 May 2026 INFO TIX CANCELLED EVENT BONE THUGS-N-HARMONY With special guests: Xzibit and Too $hort 12 May 2026 INFO TIX ON SALE NOW
2026-05-09,CANCELLED EVENT,Hordern Pavilion,,09 May 2026 INFO TIX CANCELLED EVENT BONE THUGS-N-HARMONY With special guests: Xzibit and Too $hort 12 May 2026 INFO TIX ON SALE NOW THUNDERCAT
