event_id,event_name,venue,event_type,date,time,start,end,estimated_attendance,attendance_source,year,month,day,day_of_week,hour,is_weekend,source_url
1,Two Door Cinema Club,Hordern Pavilion,concert,2013-01-03,7:00 PM,2013-01-03 19:00:00,2013-01-03 23:00:00,5500,venue_capacity_proxy,2013,1,3,Thursday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=5&year=2013
2,The Vaccines,Hordern Pavilion,concert,2013-01-03,7:00 PM,2013-01-03 19:00:00,2013-01-03 23:00:00,5500,venue_capacity_proxy,2013,1,3,Thursday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=5&year=2013
3,The Jungle Giants,Hordern Pavilion,concert,2013-01-03,7:00 PM,2013-01-03 19:00:00,2013-01-03 23:00:00,5500,venue_capacity_proxy,2013,1,3,Thursday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=5&year=2013
4,Above & Beyond,Hordern Pavilion,concert,2013-01-27,7:00 PM,2013-01-27 19:00:00,2013-01-27 23:00:00,5500,venue_capacity_proxy,2013,1,27,Sunday,19,1,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=5&year=2013
5,Ringo Starr & His All Starr Band,Hordern Pavilion,concert,2013-02-13,7:00 PM,2013-02-13 19:00:00,2013-02-13 23:00:00,5500,venue_capacity_proxy,2013,2,13,Wednesday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=5&year=2013
6,Ringo Starr & His All Starr Band,Hordern Pavilion,concert,2013-02-14,7:00 PM,2013-02-14 19:00:00,2013-02-14 23:00:00,5500,venue_capacity_proxy,2013,2,14,Thursday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=5&year=2013
7,The Stone Roses,Hordern Pavilion,concert,2013-03-06,7:00 PM,2013-03-06 19:00:00,2013-03-06 23:00:00,5500,venue_capacity_proxy,2013,3,6,Wednesday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=4&year=2013
8,The Prodigy,Hordern Pavilion,concert,2013-03-07,7:00 PM,2013-03-07 19:00:00,2013-03-07 23:00:00,5500,venue_capacity_proxy,2013,3,7,Thursday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=4&year=2013
9,Borgore,Hordern Pavilion,concert,2013-03-07,7:00 PM,2013-03-07 19:00:00,2013-03-07 23:00:00,5500,venue_capacity_proxy,2013,3,7,Thursday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=4&year=2013
10,World’s End Press,Hordern Pavilion,concert,2013-03-13,7:00 PM,2013-03-13 19:00:00,2013-03-13 23:00:00,5500,venue_capacity_proxy,2013,3,13,Wednesday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=4&year=2013
11,Bloc Party,Hordern Pavilion,concert,2013-03-13,7:00 PM,2013-03-13 19:00:00,2013-03-13 23:00:00,5500,venue_capacity_proxy,2013,3,13,Wednesday,19,0,https://www.setlist.fm/venue/hordern-pavilion-sydney-australia-73d63e0d.html?page=4&year=2013
