event_id,event_name,venue,event_type,event_category,sport_or_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
1,Cricket: Australia v Sri Lanka,Sydney Cricket Ground,cricket,sport,cricket,2013-01-03,,,,,,,Cricsheet,Warne-Muralitharan Trophy,Test,Australia,Sri Lanka,,,2013,1,3,Thursday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 573013.json; attendance not provided
2,Cricket: Australia v Sri Lanka,Sydney Cricket Ground,cricket,sport,cricket,2013-01-20,,,,,,,Cricsheet,Sri Lanka in Australia ODI Series,ODI,Australia,Sri Lanka,,,2013,1,20,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 573017.json; attendance not provided
3,Cricket: Australia v West Indies,Sydney Cricket Ground,cricket,sport,cricket,2013-02-08,,,,,,,Cricsheet,West Indies in Australia ODI Series,ODI,Australia,West Indies,,,2013,2,8,Friday,,,0,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 573025.json; attendance not provided
4,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2013-12-21,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2013,12,21,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 654033.json; attendance not provided
5,Cricket: Sydney Sixers v Melbourne Stars,Sydney Cricket Ground,cricket,sport,cricket,2013-12-29,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Stars,,,2013,12,29,Sunday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 654045.json; attendance not provided
6,Cricket: Australia v England,Sydney Cricket Ground,cricket,sport,cricket,2014-01-03,,,,,,,Cricsheet,The Ashes,Test,Australia,England,,,2014,1,3,Friday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 592401.json; attendance not provided
7,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2014-01-10,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2014,1,10,Friday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 654069.json; attendance not provided
8,Cricket: Sydney Sixers v Hobart Hurricanes,Sydney Cricket Ground,cricket,sport,cricket,2014-01-15,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Hobart Hurricanes,,,2014,1,15,Wednesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 654077.json; attendance not provided
9,Cricket: Australia v England,Sydney Cricket Ground,cricket,sport,cricket,2014-01-19,,,,,,,Cricsheet,England in Australia ODI Series,ODI,Australia,England,,,2014,1,19,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 636161.json; attendance not provided
10,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2014-02-05,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2014,2,5,Wednesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 654097.json; attendance not provided
11,Cricket: Australia v South Africa,Sydney Cricket Ground,cricket,sport,cricket,2014-11-23,,,,,,,Cricsheet,South Africa in Australia ODI Series,ODI,Australia,South Africa,,,2014,11,23,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 754731.json; attendance not provided
12,Cricket: Sydney Sixers v Melbourne Renegades,Sydney Cricket Ground,cricket,sport,cricket,2014-12-19,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Renegades,,,2014,12,19,Friday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 756737.json; attendance not provided
13,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2014-12-29,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2014,12,29,Monday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 756753.json; attendance not provided
14,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2015-01-06,,,,,,,Cricsheet,Border-Gavaskar Trophy,Test,Australia,India,,,2015,1,6,Tuesday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 754743.json; attendance not provided
15,Cricket: Sydney Sixers v Adelaide Strikers,Sydney Cricket Ground,cricket,sport,cricket,2015-01-14,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Adelaide Strikers,,,2015,1,14,Wednesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 756787.json; attendance not provided
16,Cricket: Australia v England,Sydney Cricket Ground,cricket,sport,cricket,2015-01-16,,,,,,,Cricsheet,Carlton Mid One-Day International Tri-Series,ODI,Australia,England,,,2015,1,16,Friday,,,0,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 754751.json; attendance not provided
17,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2015-01-22,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2015,1,22,Thursday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 756775.json; attendance not provided
18,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2015-01-26,,,,,,,Cricsheet,Carlton Mid One-Day International Tri-Series,ODI,Australia,India,,,2015,1,26,Monday,,,0,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 754757.json; attendance not provided
19,Cricket: South Africa v West Indies,Sydney Cricket Ground,cricket,sport,cricket,2015-02-27,,,,,,,Cricsheet,ICC Cricket World Cup,ODI,South Africa,West Indies,,,2015,2,27,Friday,,,0,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 656435.json; attendance not provided
20,Cricket: Australia v Sri Lanka,Sydney Cricket Ground,cricket,sport,cricket,2015-03-08,,,,,,,Cricsheet,ICC Cricket World Cup,ODI,Australia,Sri Lanka,,,2015,3,8,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 656461.json; attendance not provided
21,Cricket: South Africa v Sri Lanka,Sydney Cricket Ground,cricket,sport,cricket,2015-03-18,,,,,,,Cricsheet,ICC Cricket World Cup,ODI,South Africa,Sri Lanka,,,2015,3,18,Wednesday,,,0,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 656483.json; attendance not provided
22,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2015-03-26,,,,,,,Cricsheet,ICC Cricket World Cup,ODI,Australia,India,,,2015,3,26,Thursday,,,0,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 656493.json; attendance not provided
23,Cricket: Sydney Sixers v Hobart Hurricanes,Sydney Cricket Ground,cricket,sport,cricket,2015-12-20,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Hobart Hurricanes,,,2015,12,20,Sunday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 897701.json; attendance not provided
24,Cricket: Sydney Sixers v Melbourne Stars,Sydney Cricket Ground,cricket,sport,cricket,2015-12-27,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Stars,,,2015,12,27,Sunday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 897713.json; attendance not provided
25,Cricket: Australia v West Indies,Sydney Cricket Ground,cricket,sport,cricket,2016-01-03,,,,,,,Cricsheet,The Frank Worrell Trophy,Test,Australia,West Indies,,,2016,1,3,Sunday,,,1,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 892519.json; attendance not provided
26,Cricket: Sydney Sixers v Brisbane Heat,Sydney Cricket Ground,cricket,sport,cricket,2016-01-10,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Brisbane Heat,,,2016,1,10,Sunday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 897745.json; attendance not provided
27,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2016-01-16,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2016,1,16,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 897753.json; attendance not provided
28,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2016-01-23,,,,,,,Cricsheet,India in Australia ODI Series,ODI,Australia,India,,,2016,1,23,Saturday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 895815.json; attendance not provided
29,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2016-01-31,,,,,,,Cricsheet,India Women in Australia T20I Series,T20,Australia,India,,,2016,1,31,Sunday,,,1,https://cricsheet.org/downloads/t20s_json.zip,Cricsheet JSON file: 895791.json; attendance not provided
30,Alex Lloyd,Sydney Cricket Ground,concert,concert,concert/performance,2016-09-26,,,,,,,Concert Archives,,,,,,,2016,9,26,Monday,,,0,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
31,Cricket: Australia v New Zealand,Sydney Cricket Ground,cricket,sport,cricket,2016-12-04,,,,,,,Cricsheet,Chappell-Hadlee Trophy,ODI,Australia,New Zealand,,,2016,12,4,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 1001371.json; attendance not provided
32,Cricket: Sydney Sixers v Hobart Hurricanes,Sydney Cricket Ground,cricket,sport,cricket,2016-12-23,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Hobart Hurricanes,,,2016,12,23,Friday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1023587.json; attendance not provided
33,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2016-12-27,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2016,12,27,Tuesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1023593.json; attendance not provided
34,Cricket: Australia v Pakistan,Sydney Cricket Ground,cricket,sport,cricket,2017-01-03,,,,,,,Cricsheet,Pakistan in Australia Test Series,Test,Australia,Pakistan,,,2017,1,3,Tuesday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 1000885.json; attendance not provided
35,Cricket: Sydney Sixers v Melbourne Renegades,Sydney Cricket Ground,cricket,sport,cricket,2017-01-09,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Renegades,,,2017,1,9,Monday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1023621.json; attendance not provided
36,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2017-01-14,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2017,1,14,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1023629.json; attendance not provided
37,Cricket: Australia v Pakistan,Sydney Cricket Ground,cricket,sport,cricket,2017-01-22,,,,,,,Cricsheet,Pakistan in Australia ODI Series,ODI,Australia,Pakistan,,,2017,1,22,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 1000893.json; attendance not provided
38,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2017-12-23,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2017,12,23,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114860.json; attendance not provided
39,Cricket: Sydney Sixers v Adelaide Strikers,Sydney Cricket Ground,cricket,sport,cricket,2017-12-28,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Adelaide Strikers,,,2017,12,28,Thursday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114864.json; attendance not provided
40,Cricket: England v Australia,Sydney Cricket Ground,cricket,sport,cricket,2018-01-04,,,,,,,Cricsheet,England tour of Australia and New Zealand,Test,England,Australia,,,2018,1,4,Thursday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 1072309.json; attendance not provided
41,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2018-01-13,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2018,1,13,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114883.json; attendance not provided
42,Cricket: Sydney Sixers v Brisbane Heat,Sydney Cricket Ground,cricket,sport,cricket,2018-01-18,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Brisbane Heat,,,2018,1,18,Thursday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114887.json; attendance not provided
43,Cricket: England v Australia,Sydney Cricket Ground,cricket,sport,cricket,2018-01-21,,,,,,,Cricsheet,England tour of Australia and New Zealand,ODI,England,Australia,,,2018,1,21,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 1072312.json; attendance not provided
44,Cricket: Sydney Sixers v Melbourne Stars,Sydney Cricket Ground,cricket,sport,cricket,2018-01-23,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Stars,,,2018,1,23,Tuesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114891.json; attendance not provided
45,Cricket: New Zealand v Australia,Sydney Cricket Ground,cricket,sport,cricket,2018-02-03,,,,,,,Cricsheet,Trans-Tasman Twenty20 Trophy,T20,New Zealand,Australia,,,2018,2,3,Saturday,,,1,https://cricsheet.org/downloads/t20s_json.zip,Cricsheet JSON file: 1072316.json; attendance not provided
46,The Rubens,Sydney Cricket Ground,concert,concert,concert/performance,2018-10-27,,,,,,,Concert Archives,,,,,,,2018,10,27,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
