event_name,venue,event_type,sport_or_category,date,time,start,end,estimated_attendance,attendance_source,source_url,scrape_source,year,month,day,day_of_week,is_weekend,hour
Uploaded by,Sydney Cricket Ground,concert,concert/performance,1994-04-01,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,1994.0,4.0,1.0,Friday,0,
Uploaded by,Sydney Cricket Ground,concert,concert/performance,1994-04-02,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,1994.0,4.0,2.0,Saturday,1,
Uploaded by,Sydney Cricket Ground,concert,concert/performance,1995-04-02,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,1995.0,4.0,2.0,Sunday,1,
Embedded by,Sydney Cricket Ground,concert,concert/performance,2005-01-29,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2005.0,1.0,29.0,Saturday,1,
Uploaded by,Sydney Cricket Ground,concert,concert/performance,2005-01-29,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2005.0,1.0,29.0,Saturday,1,
Mark Seymour,Sydney Cricket Ground,concert,concert/performance,2006-04-09,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2006.0,4.0,9.0,Sunday,1,
Rockin’ For Rights Concert,Sydney Cricket Ground,concert,concert/performance,2007-04-21,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,21.0,Saturday,1,
Hoodoo Gurus,Sydney Cricket Ground,concert,concert/performance,2007-04-22,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,22.0,Sunday,1,
Beasts Of Bourbon,Sydney Cricket Ground,concert,concert/performance,2007-04-22,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,22.0,Sunday,1,
Youth Group,Sydney Cricket Ground,concert,concert/performance,2007-04-22,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,22.0,Sunday,1,
Mark Seymour,Sydney Cricket Ground,concert,concert/performance,2007-04-22,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,22.0,Sunday,1,
The Screaming Jets,Sydney Cricket Ground,concert,concert/performance,2007-04-22,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,22.0,Sunday,1,
Magic Dirt,Sydney Cricket Ground,concert,concert/performance,2007-04-22,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2007.0,4.0,22.0,Sunday,1,
Sound Relief Sydney,Sydney Cricket Ground,concert,concert/performance,2009-03-14,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2009.0,3.0,14.0,Saturday,1,
Alex Lloyd,Sydney Cricket Ground,concert,concert/performance,2016-09-26,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2016.0,9.0,26.0,Monday,0,
The Rubens,Sydney Cricket Ground,concert,concert/performance,2018-10-27,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2018.0,10.0,27.0,Saturday,1,
