event_id,event_name,venue,event_type,event_category,sport_or_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
1,Alex Lloyd,Sydney Cricket Ground,concert,concert,concert/performance,2016-09-26,,,,,,,Concert Archives,,,,,,,2016,9,26,Monday,,,0,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
2,AFL Finals: Sydney Swans v Essendon,Sydney Cricket Ground,afl,sport,Aus Football,2017-09-09,,,,,46323.0,reported_crowd,Austadiums,,,,,,,2017,9,9,Saturday,,,1,https://www.austadiums.com/stadiums/scg/crowds,Austadiums visible SCG crowd summary row
3,The Rubens,Sydney Cricket Ground,concert,concert,concert/performance,2018-10-27,,,,,,,Concert Archives,,,,,,,2018,10,27,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
4,Jpdosski,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,Concert Archives,,,,,,,2019,11,22,Friday,,,0,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
5,Noel Gallagher’s High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,setlist.fm,,,,,,,2019,11,22,Friday,,,0,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html?page=2,setlist.fm SCG listing
6,U2,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,setlist.fm,,,,,,,2019,11,22,Friday,,,0,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html?page=2,setlist.fm SCG listing
7,U2 / Noel Gallagher's High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,Concert Archives,,,,,,,2019,11,22,Friday,,,0,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
8,John Waters,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,Concert Archives,,,,,,,2019,11,23,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
9,Noel Gallagher’s High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,setlist.fm,,,,,,,2019,11,23,Saturday,,,1,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm SCG listing
10,U2,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,setlist.fm,,,,,,,2019,11,23,Saturday,,,1,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm SCG listing
11,U2 / Noel Gallagher's High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,Concert Archives,,,,,,,2019,11,23,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
