station_key,date,year,month,day_of_week,public_holiday,school_holiday,daily_total,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
55432,2008-10-28T00:00:00Z,2008,10,2,False,False,16105,117.0,52.0,51.0,47.0,64.0,299,884,989,1049.0,935.0,987.0,999.0,865,909,902,927,951,1177.0,1130,784,728.0,547.0,434.0,278.0
55432,2008-10-30T00:00:00Z,2008,10,4,False,False,17041,157.0,91.0,46.0,47.0,80.0,308,854,1061,1029.0,939.0,930.0,955.0,997,916,952,1039,1051,1204.0,1104,961,749.0,645.0,583.0,343.0
55432,2008-11-05T00:00:00Z,2008,11,3,False,False,16418,121.0,83.0,73.0,58.0,74.0,318,919,1050,1026.0,1041.0,968.0,943.0,893,875,887,966,961,1102.0,1052,802,672.0,656.0,526.0,352.0
55432,2008-11-10T00:00:00Z,2008,11,1,False,False,15472,187.0,69.0,46.0,51.0,71.0,277,877,1033,993.0,900.0,839.0,931.0,925,866,890,877,973,1156.0,1052,697,603.0,563.0,378.0,218.0
55432,2008-11-13T00:00:00Z,2008,11,4,False,False,17448,184.0,86.0,56.0,47.0,81.0,335,866,1014,1040.0,1004.0,960.0,1009.0,1042,981,931,1008,1049,1232.0,1077,1013,737.0,675.0,617.0,404.0
55432,2008-11-15T00:00:00Z,2008,11,6,False,False,16704,364.0,195.0,140.0,87.0,94.0,175,477,642,973.0,916.0,1032.0,993.0,1136,1145,1112,1076,1004,1034.0,909,809,679.0,542.0,617.0,553.0
55432,2008-11-16T00:00:00Z,2008,11,7,False,False,15432,431.0,256.0,144.0,134.0,96.0,112,233,374,519.0,733.0,945.0,1009.0,1093,1125,1033,1076,1100,1143.0,1216,841,576.0,518.0,472.0,253.0
55432,2008-11-22T00:00:00Z,2008,11,6,False,False,18185,381.0,233.0,140.0,118.0,76.0,182,527,731,976.0,1089.0,1157.0,1172.0,1340,1217,1199,1099,1055,976.0,962,934,803.0,568.0,656.0,594.0
55432,2008-11-25T00:00:00Z,2008,11,2,False,False,17408,111.0,78.0,38.0,50.0,68.0,294,958,997,1041.0,1021.0,899.0,897.0,971,938,940,954,998,1264.0,1233,1119,856.0,673.0,633.0,377.0
55432,2008-11-29T00:00:00Z,2008,11,6,False,False,18093,512.0,251.0,189.0,140.0,101.0,170,438,695,954.0,987.0,1034.0,1141.0,1283,1243,1219,1129,1099,965.0,986,890,759.0,646.0,599.0,663.0
55432,2008-12-05T00:00:00Z,2008,12,5,False,False,18114,194.0,101.0,66.0,67.0,112.0,339,859,1012,1046.0,1006.0,1001.0,986.0,1025,1023,1055,1063,1059,1088.0,1088,1036,817.0,756.0,676.0,639.0
55432,2008-12-06T00:00:00Z,2008,12,6,False,False,18457,473.0,250.0,168.0,122.0,112.0,189,520,744,1024.0,1104.0,1146.0,1245.0,1248,1257,1157,1043,1112,1071.0,998,938,756.0,571.0,614.0,595.0
55432,2008-12-07T00:00:00Z,2008,12,7,False,False,15487,524.0,292.0,184.0,154.0,108.0,148,222,461,603.0,837.0,994.0,1167.0,1241,1094,1106,953,967,972.0,929,666,602.0,539.0,472.0,252.0
55432,2008-12-08T00:00:00Z,2008,12,1,False,False,15557,159.0,84.0,51.0,39.0,67.0,306,774,945,1017.0,987.0,905.0,902.0,857,873,884,926,928,1189.0,1099,755,575.0,537.0,451.0,247.0
55432,2008-12-09T00:00:00Z,2008,12,2,False,False,17913,128.0,87.0,61.0,45.0,72.0,326,911,981,1092.0,989.0,1016.0,1031.0,988,1034,1010,1072,1004,1188.0,1195,1182,865.0,620.0,552.0,464.0
55432,2008-12-11T00:00:00Z,2008,12,4,False,False,17260,177.0,89.0,69.0,51.0,97.0,305,868,908,1048.0,966.0,928.0,1009.0,899,994,1006,969,1061,1162.0,1191,928,750.0,677.0,628.0,480.0
55432,2008-12-15T00:00:00Z,2008,12,1,False,False,15981,180.0,86.0,50.0,69.0,74.0,287,884,885,1034.0,960.0,919.0,885.0,931,991,911,920,1004,1153.0,1095,737,620.0,553.0,505.0,248.0
55432,2008-12-21T00:00:00Z,2008,12,7,False,True,15563,379.0,254.0,138.0,141.0,109.0,136,230,391,617.0,814.0,967.0,1025.0,1193,1156,1101,1172,1298,884.0,842,761,627.0,547.0,481.0,300.0
55432,2008-12-23T00:00:00Z,2008,12,2,False,True,15611,148.0,87.0,45.0,57.0,73.0,248,725,800,898.0,942.0,1004.0,1024.0,1053,1003,1003,901,912,954.0,860,771,627.0,624.0,517.0,335.0
55432,2008-09-05T00:00:00Z,2008,9,5,False,False,16594,197.0,72.0,72.0,59.0,86.0,270,829,997,1084.0,959.0,878.0,885.0,802,907,1007,1070,1058,1135.0,1013,1006,628.0,546.0,577.0,457.0
55432,2008-09-06T00:00:00Z,2008,9,6,False,False,15462,368.0,197.0,139.0,102.0,77.0,132,386,598,765.0,899.0,971.0,1042.0,1000,983,959,983,834,887.0,929,967,577.0,514.0,574.0,579.0
55432,2008-09-07T00:00:00Z,2008,9,7,False,False,14134,382.0,228.0,144.0,113.0,86.0,104,197,297,460.0,782.0,889.0,1061.0,1171,1011,1012,928,1039,950.0,853,654,584.0,530.0,417.0,242.0
55432,2008-09-09T00:00:00Z,2008,9,2,False,False,16182,131.0,48.0,38.0,43.0,57.0,303,856,1019,967.0,987.0,928.0,872.0,902,857,947,981,1000,1111.0,1128,1014,713.0,560.0,453.0,267.0
55432,2008-09-12T00:00:00Z,2008,9,5,False,False,17654,165.0,84.0,65.0,44.0,83.0,272,884,961,1031.0,1050.0,1039.0,1019.0,986,1045,1083,1089,1094,1166.0,1105,1025,653.0,573.0,630.0,508.0
55432,2008-09-13T00:00:00Z,2008,9,6,False,False,17666,330.0,197.0,143.0,102.0,95.0,188,527,678,902.0,1146.0,1167.0,1177.0,1180,1229,1152,1192,1057,944.0,1013,921,633.0,567.0,570.0,556.0
55432,2008-09-16T00:00:00Z,2008,9,2,False,False,15976,102.0,55.0,42.0,44.0,70.0,300,897,981,977.0,949.0,941.0,901.0,949,925,907,961,1000,1134.0,1016,806,713.0,624.0,428.0,254.0
55432,2008-09-19T00:00:00Z,2008,9,5,False,False,17477,185.0,81.0,72.0,51.0,70.0,303,887,1017,1011.0,1046.0,971.0,1007.0,1017,1046,1074,1136,1016,1060.0,960,966,722.0,620.0,640.0,519.0
55432,2008-10-08T00:00:00Z,2008,10,3,False,True,16592,134.0,72.0,47.0,37.0,75.0,284,836,920,954.0,1059.0,1030.0,985.0,951,979,936,988,979,1134.0,1048,929,687.0,679.0,545.0,304.0
55432,2008-10-09T00:00:00Z,2008,10,4,False,True,16369,177.0,72.0,50.0,52.0,80.0,284,807,909,943.0,992.0,956.0,916.0,948,876,900,890,935,1152.0,1134,1007,699.0,682.0,559.0,349.0
55432,2008-10-12T00:00:00Z,2008,10,7,False,True,15857,451.0,243.0,180.0,129.0,114.0,153,230,365,595.0,818.0,926.0,1174.0,1366,1259,1158,1093,1146,940.0,846,754,635.0,546.0,415.0,321.0
55432,2008-10-25T00:00:00Z,2008,10,6,False,False,18210,327.0,193.0,146.0,114.0,82.0,183,525,730,1038.0,1093.0,1264.0,1204.0,1295,1292,1193,1187,1075,1011.0,970,802,736.0,606.0,580.0,564.0
55432,2008-10-31T00:00:00Z,2008,10,5,False,False,17253,192.0,100.0,60.0,60.0,86.0,306,873,1056,1023.0,1008.0,1097.0,1013.0,1029,1008,1011,962,999,1112.0,956,862,743.0,604.0,574.0,519.0
55432,2008-11-06T00:00:00Z,2008,11,4,False,False,16998,148.0,92.0,62.0,43.0,82.0,283,919,1041,1050.0,968.0,932.0,965.0,951,956,967,971,976,1225.0,1102,875,733.0,654.0,653.0,350.0
55432,2008-11-09T00:00:00Z,2008,11,7,False,False,14887,457.0,240.0,162.0,97.0,122.0,122,218,371,554.0,806.0,1013.0,1013.0,1088,1130,1011,976,974,1059.0,884,690,617.0,567.0,429.0,287.0
55432,2008-11-11T00:00:00Z,2008,11,2,False,False,16188,117.0,69.0,41.0,45.0,78.0,319,898,989,1044.0,968.0,893.0,873.0,916,897,916,933,996,1140.0,1121,825,669.0,648.0,498.0,295.0
55432,2008-11-12T00:00:00Z,2008,11,3,False,False,17217,141.0,73.0,66.0,61.0,93.0,314,959,1058,1029.0,985.0,890.0,980.0,1017,936,970,989,960,1224.0,1152,896,786.0,705.0,563.0,370.0
55432,2008-11-17T00:00:00Z,2008,11,1,False,False,15593,138.0,59.0,58.0,49.0,76.0,276,841,972,983.0,957.0,879.0,878.0,837,901,896,867,971,1260.0,1086,759,647.0,601.0,389.0,213.0
55432,2008-11-28T00:00:00Z,2008,11,5,False,False,17690,294.0,103.0,70.0,55.0,87.0,341,858,972,1040.0,1039.0,999.0,990.0,910,1017,1021,1034,1076,1029.0,994,1060,941.0,610.0,548.0,602.0
